group,user_id,commission_revenue_pre,commission_revenue_exp
control,cf7f6389-95e8-44b1-88d9-71a784d0eea3,126.1748221682233,131.4957569787687
control,6b129f09-fb5f-42df-bde3-a0daf9476c31,95.27857533026945,105.80396755012836
test,f5ce5d40-a918-482f-bd4a-27ade2af0d97,101.39736942090263,101.78741751593714
control,82592e1a-b6b7-42bf-a625-1fc138f92d3e,68.8556133579186,56.85196963775158
control,549b14a8-fc08-4224-bf8e-931a7a50e6ff,112.97443542812164,101.96080542993516
control,9d82a2d2-c6cc-45e2-95ca-7fa3cd717575,102.909721055154,106.79696563241363
test,e88423be-db1b-4b85-83a3-8eb6676724eb,57.20985856543413,51.67135767057804
test,f6696e27-b8f5-444e-980b-017786ff0f7e,58.95822424142125,85.79515945356404
control,9e0695ce-d4e2-44f1-b37f-04c58bbf491a,61.03976098068601,75.59497289918812
test,1d7cdf5a-9c3d-46ee-a508-aa2b0cb5e2df,154.58624078690056,150.6530483750078
control,b8601f41-47fb-4154-b02c-355cdf207fad,121.79696561771974,122.68744184398011
control,ca3848c7-2300-40bb-8bfd-04df1fea1ff5,157.51794116089283,135.673799477416
test,acab8c5d-de12-4d1e-8036-051a93b7f5fc,112.13120417916227,112.27205606497651
test,cac0c805-8d3e-422b-865e-bb91f0debb00,151.37710881105215,164.8582076100864
control,3c450648-6887-4d24-b105-322a419c221d,109.7984013549437,137.4795795532094
test,360d0b02-6d77-40ff-a441-1bc42f0aed11,89.6290887328908,90.02828400614005
control,1cb43853-cff4-4a22-bb32-6bc387696f11,100.25832561636571,107.43661073503426
test,44cb7cb4-7274-4af9-ab83-0523472cfa31,117.68185151709969,127.9992549778244
test,d4c2b19c-1ebd-4e03-8f87-f5874d5e4256,80.6331762093944,89.28161641487739
control,0503b5e0-3dc8-4367-b9f4-a42441754540,61.74827719223119,39.19356642845093
control,f5c170b2-9027-4ec4-b044-8a12c8f4088b,145.8911292068468,121.03881986627239
control,a8c7e4d4-64f9-41d3-b7d2-bf10b5e0734a,131.56912711180667,122.88979246184948
test,45dfcda5-9709-4a1f-a7c3-eaa0345158e2,97.15559458950355,90.46983132302971
control,43ad32d3-4ae7-42e5-a2c4-222a8ec46304,89.92681910879037,116.9143699231597
control,096d328b-4623-4500-80c1-60becda704e1,114.05386440868838,112.01829449858457
control,68247761-ca85-4318-8536-58d026726e1d,142.8633333953696,139.30657759554916
control,5cf6a73f-d680-46f4-a088-dfcb38a91746,70.17623737103322,78.38419407576792
control,85133f88-4128-47ab-aad1-3cd618b341b7,143.74871420745507,155.81084685759703
test,ffd1037c-43a8-4cad-8db4-5534f122fb45,80.24583286524687,72.81235783975738
control,ec09f5c7-c5bf-400b-b85f-9674f50d1f62,91.94010033810883,106.0623828983265
test,402c3110-d573-481f-833a-c3ed50aa28f9,123.61945009233844,124.4736102882179
test,376256ae-478b-489c-89a1-252223ba1e52,57.150095433061274,69.48201474928791
control,ce945bbb-f42a-4043-a2f9-b963a6aaa7fb,128.74195375290853,130.0311650839261
test,a26a3138-d20f-4f32-9fb4-3eae19b68727,75.09125958838906,69.74408589542513
